Website,Component1,Component2,Component3,Component4,Component5
86,C25,C68,C63,C73,C64
87,C70,C21,C4,C61,C66
88,C2,C48,C65,C7,C5
89,C11,C16,C8,C9,C15
90,C19,C72,C12,C1,C20
91,C22,C18,C10,C14,C13
92,C28,C24,C3,C27,C6
93,C25,C31,C71,C17,C34
94,C29,C32,C35,C30,C23
95,C21,C45,C41,C36,C39
96,C43,C38,C44,C37,C50
97,C53,C33,C46,C52,C54
98,C40,C57,C51,C56,C49
99,C63,C42,C65,C47,C64
100,C66,C60,C26,C67,C48
101,C71,C2,C58,C61,C62
102,C1,C8,C59,C69,C3
103,C72,C5,C7,C6,C13
104,C73,C18,C10,C11,C55
105,C15,C21,C16,C22,C23
106,C4,C20,C25,C17,C19
107,C9,C26,C12,C28,C70
108,C14,C35,C33,C31,C24
109,C42,C34,C30,C27,C39
110,C37,C38,C32,C68,C29
111,C45,C48,C46,C41,C50
112,C43,C51,C58,C44,C49
113,C40,C62,C59,C54,C56
114,C57,C52,C60,C61,C67
115,C71,C64,C47,C66,C70
116,C69,C53,C36,C5,C63
117,C55,C68,C10,C4,C2
118,C13,C8,C73,C3,C12
119,C65,C17,C15,C18,C11
120,C24,C14,C21,C22,C19
121,C72,C27,C25,C6,C1
122,C34,C30,C31,C28,C23
123,C36,C37,C39,C26,C32
124,C43,C35,C29,C40,C9
125,C16,C48,C47,C50,C7
126,C42,C49,C38,C46,C41
127,C51,C57,C45,C55,C54
128,C53,C60,C58,C64,C59
129,C33,C61,C66,C63,C68
130,C67,C72,C69,C52,C2
131,C73,C4,C3,C65,C71
132,C7,C6,C8,C11,C10
133,C14,C16,C9,C62,C15
134,C20,C1,C44,C5,C12
135,C70,C24,C19,C56,C25
136,C13,C32,C29,C31,C23
137,C27,C18,C17,C21,C35
138,C26,C34,C42,C28,C36
139,C45,C20,C37,C33,C40
140,C48,C50,C41,C49,C51
141,C47,C30,C56,C22,C46
142,C39,C58,C43,C53,C60
143,C65,C59,C54,C55,C52
144,C62,C70,C61,C38,C72
145,C1,C3,C66,C4,C2
146,C71,C44,C7,C9,C8
147,C67,C11,C10,C5,C57
148,C13,C68,C16,C15,C64
149,C63,C23,C14,C17,C22
150,C21,C20,C26,C12,C29
151,C27,C25,C28,C73,C31
152,C6,C38,C36,C24,C33
153,C41,C19,C37,C18,C39
154,C42,C47,C35,C30,C34
155,C49,C50,C69,C32,C48
156,C46,C52,C43,C58,C45
157,C59,C62,C51,C56,C44
158,C67,C55,C60,C68,C66
159,C72,C54,C63,C53,C69
160,C4,C40,C71,C64,C70
161,C11,C73,C65,C9,C6
162,C2,C12,C3,C5,C1
163,C17,C8,C20,C57,C10
164,C23,C18,C7,C61,C14
165,C21,C29,C13,C31,C19
166,C27,C26,C28,C32,C36
167,C41,C16,C22,C34,C38
168,C43,C39,C46,C37,C42
169,C25,C15,C51,C40,C48
170,C54,C35,C49,C55,C33
171,C61,C58,C24,C30,C59
172,C64,C63,C53,C66,C56
173,C57,C44,C68,C50,C70
174,C69,C47,C65,C72,C3
175,C45,C5,C8,C62,C67
176,C11,C73,C12,C13,C1
177,C71,C10,C6,C60,C14
178,C9,C21,C23,C4,C2
179,C16,C19,C17,C20,C18
180,C22,C33,C25,C32,C28
181,C30,C37,C24,C31,C27
182,C43,C7,C52,C29,C40
183,C35,C39,C46,C44,C47
184,C38,C51,C50,C36,C53
185,C55,C56,C57,C54,C58
186,C42,C49,C62,C60,C61
187,C41,C52,C64,C67,C68
188,C69,C73,C45,C15,C59
189,C63,C4,C70,C48,C5
190,C65,C66,C26,C6,C72
191,C1,C34,C13,C15,C8
192,C14,C10,C9,C18,C71
193,C16,C25,C12,C17,C3
194,C23,C21,C11,C30,C28
195,C34,C27,C29,C7,C31
196,C38,C40,C35,C2,C24
197,C37,C39,C33,C32,C26
198,C22,C36,C45,C50,C19
199,C51,C20,C41,C42,C52
200,C47,C55,C60,C59,C43
201,C62,C44,C57,C48,C61
202,C67,C68,C49,C46,C56
203,C63,C69,C58,C70,C2
204,C66,C73,C1,C53,C71
205,C10,C7,C6,C11,C8
206,C12,C54,C16,C14,C5
207,C13,C17,C22,C72,C20
208,C18,C21,C3,C64,C26
209,C28,C30,C23,C9,C24
210,C27,C36,C33,C35,C32
211,C31,C38,C4,C25,C41
212,C19,C45,C34,C65,C42
213,C47,C49,C29,C51,C43
214,C53,C39,C57,C40,C54
215,C59,C58,C46,C44,C62
216,C64,C37,C63,C48,C52
217,C66,C50,C15,C55,C61
218,C70,C2,C71,C65,C1
219,C73,C9,C3,C7,C8
220,C5,C60,C13,C67,C12
221,C69,C17,C18,C10,C19
222,C6,C68,C11,C21,C72
223,C20,C16,C23,C25,C28
224,C14,C56,C29,C30,C27
225,C34,C36,C38,C32,C35
226,C40,C31,C44,C24,C43
227,C37,C42,C39,C33,C45
228,C52,C47,C4,C51,C26
229,C48,C15,C49,C59,C54
230,C41,C62,C50,C57,C53
231,C65,C64,C67,C69,C58
232,C22,C72,C61,C66,C55
233,C73,C46,C3,C1,C5
234,C68,C7,C71,C56,C4
235,C15,C12,C60,C2,C9
236,C21,C6,C10,C17,C18
237,C26,C24,C19,C8,C20
238,C30,C14,C23,C27,C29
239,C34,C32,C63,C28,C36
240,C13,C25,C35,C11,C39
241,C38,C16,C70,C33,C44
242,C41,C31,C50,C47,C43
243,C40,C37,C45,C54,C55
244,C51,C53,C46,C57,C42
245,C59,C52,C56,C61,C66
246,C49,C67,C65,C48,C63
247,C70,C58,C71,C60,C3
248,C64,C62,C7,C22,C72
249,C12,C2,C13,C73,C11
250,C9,C68,C10,C17,C4
251,C19,C69,C1,C22,C18
252,C20,C28,C27,C21,C5
253,C31,C16,C8,C15,C33
254,C6,C30,C14,C23,C38
255,C40,C39,C42,C26,C36
256,C43,C48,C47,C37,C34
257,C50,C41,C24,C25,C51
258,C46,C52,C58,C57,C32
259,C63,C44,C56,C35,C29
260,C60,C55,C62,C49,C53
261,C69,C66,C59,C73,C65
262,C54,C64,C5,C61,C1
263,C71,C8,C70,C9,C68
264,C6,C15,C2,C12,C14
265,C45,C72,C13,C3,C11
266,C24,C21,C4,C10,C17
267,C16,C23,C26,C67,C22
268,C33,C30,C7,C19,C29
269,C31,C34,C39,C20,C28
270,C18,C36,C42,C43,C40
271,C37,C27,C50,C46,C47
272,C35,C45,C32,C51,C49
273,C56,C59,C54,C41,C60
274,C25,C44,C48,C64,C53
275,C67,C70,C52,C66,C65
276,C38,C2,C63,C69,C68
277,C3,C1,C72,C61,C57
278,C6,C5,C7,C73,C55
279,C12,C13,C4,C11,C8
280,C19,C15,C71,C62,C20
281,C21,C17,C24,C10,C23
282,C58,C22,C28,C25,C32
283,C14,C36,C29,C27,C33
284,C18,C31,C40,C42,C26
285,C35,C37,C45,C38,C47
286,C16,C46,C48,C49,C39
287,C9,C30,C50,C56,C44
288,C55,C54,C34,C59,C53
289,C57,C62,C61,C67,C64
290,C66,C41,C71,C43,C52
291,C63,C4,C2,C72,C1
292,C65,C3,C60,C51,C8
293,C6,C69,C7,C14,C9
294,C16,C15,C73,C17,C11
295,C24,C21,C20,C68,C19
296,C27,C25,C12,C28,C29
297,C32,C23,C13,C30,C33
298,C5,C39,C38,C10,C36
299,C37,C35,C58,C26,C34
300,C22,C42,C45,C31,C18
301,C53,C46,C50,C44,C70
302,C48,C57,C58,C52,C49
303,C62,C51,C60,C64,C54
304,C65,C69,C63,C66,C61
305,C59,C41,C55,C72,C47
306,C3,C71,C73,C40,C2
307,C43,C8,C1,C10,C7
308,C9,C70,C56,C14,C15
309,C16,C67,C13,C5,C19
310,C12,C11,C18,C22,C68
311,C25,C4,C6,C17,C23
312,C36,C33,C32,C34,C29
313,C39,C28,C21,C30,C37
314,C46,C43,C20,C45,C41
315,C24,C44,C26,C31,C38
316,C53,C52,C27,C51,C40
317,C50,C47,C59,C48,C61
318,C65,C55,C56,C58,C62
319,C35,C42,C49,C54,C64
320,C66,C67,C72,C71,C69
321,C60,C57,C8,C2,C5
322,C7,C9,C4,C6,C12
323,C15,C16,C63,C1,C68
324,C11,C14,C22,C21,C70
325,C17,C13,C20,C18,C24
326,C3,C27,C73,C26,C33
327,C31,C38,C30,C29,C32
328,C34,C41,C23,C36,C35
329,C10,C37,C45,C19,C42
330,C25,C40,C51,C44,C53
331,C52,C50,C43,C46,C39
332,C62,C28,C49,C63,C57
333,C68,C58,C61,C67,C55
334,C47,C64,C72,C66,C54
335,C69,C1,C3,C48,C59
336,C8,C9,C56,C70,C7
337,C10,C11,C5,C73,C60
338,C16,C20,C14,C13,C65
339,C4,C23,C25,C2,C21
340,C18,C22,C24,C28,C17
341,C30,C6,C26,C32,C31
342,C40,C12,C15,C39,C36
343,C43,C71,C38,C29,C27
344,C45,C33,C48,C35,C44
345,C46,C55,C41,C53,C51
346,C34,C58,C57,C56,C42
347,C64,C47,C54,C49,C19
348,C50,C52,C61,C69,C66
349,C65,C68,C62,C63,C71
350,C60,C59,C3,C7,C37
351,C5,C72,C6,C10,C70
352,C12,C4,C14,C9,C1
353,C13,C22,C15,C21,C73
354,C20,C26,C11,C8,C23
355,C25,C17,C2,C30,C31
356,C33,C16,C34,C36,C19
357,C39,C41,C40,C29,C67
358,C45,C32,C38,C24,C18
359,C28,C47,C49,C44,C42
360,C53,C56,C52,C27,C55
361,C60,C54,C57,C48,C37
362,C51,C35,C50,C46,C59
363,C43,C71,C66,C65,C58
364,C1,C70,C69,C61,C3
365,C5,C4,C68,C7,C6
366,C2,C9,C64,C72,C63
367,C17,C13,C12,C19,C16
368,C18,C10,C62,C15,C24
369,C25,C73,C27,C23,C26
370,C11,C34,C14,C30,C8
371,C21,C39,C38,C28,C37
372,C40,C20,C36,C44,C43
373,C41,C22,C49,C67,C48
374,C50,C46,C45,C42,C51
375,C52,C33,C31,C55,C47
376,C54,C64,C53,C59,C63
377,C65,C62,C68,C56,C32
378,C57,C61,C66,C71,C67
379,C69,C4,C3,C29,C6
380,C1,C58,C72,C2,C70
381,C10,C8,C73,C7,C9
382,C20,C21,C17,C19,C18
383,C24,C60,C25,C16,C5
384,C26,C22,C31,C28,C12
385,C27,C37,C32,C23,C14
386,C40,C42,C15,C11,C38
387,C46,C39,C43,C33,C34
388,C49,C47,C35,C45,C51
389,C48,C41,C50,C30,C56
390,C44,C61,C29,C59,C36
391,C54,C62,C35,C52,C55
392,C69,C68,C63,C70,C58
393,C1,C53,C66,C2,C60
394,C57,C7,C5,C8,C3
395,C71,C14,C13,C4,C11
396,C6,C15,C10,C16,C9
397,C17,C20,C65,C67,C13
398,C21,C28,C23,C27,C22
399,C29,C32,C26,C19,C33
400,C25,C64,C36,C31,C38
401,C24,C42,C18,C39,C41
402,C44,C12,C72,C34,C37
403,C53,C73,C49,C50,C47
404,C57,C48,C52,C55,C45
405,C56,C43,C54,C30,C40
406,C51,C60,C64,C62,C46
407,C61,C72,C35,C67,C63
408,C66,C58,C69,C2,C70
409,C73,C10,C7,C8,C3
410,C14,C5,C9,C71,C1
411,C11,C4,C59,C68,C16
412,C21,C25,C18,C12,C19
413,C22,C15,C29,C13,C26
414,C28,C35,C23,C6,C32
415,C38,C20,C37,C34,C17
416,C40,C45,C43,C65,C30
417,C33,C31,C36,C44,C39
418,C51,C47,C54,C42,C53
419,C24,C48,C60,C49,C55
420,C58,C59,C65,C61,C64
421,C67,C57,C56,C52,C66
422,C73,C63,C27,C72,C50
423,C6,C1,C70,C3,C41
424,C46,C5,C11,C2,C71
425,C69,C9,C12,C62,C17
426,C68,C7,C4,C21,C10
427,C25,C27,C14,C26,C20
428,C24,C28,C19,C8,C18
429,C36,C29,C32,C31,C15
430,C30,C41,C16,C22,C42
431,C46,C23,C34,C38,C13
432,C44,C45,C35,C50,C48
433,C55,C40,C43,C47,C54
434,C61,C51,C53,C62,C49
435,C64,C33,C63,C57,C59
436,C37,C60,C68,C39,C72
437,C70,C66,C71,C3,C1
438,C73,C2,C65,C69,C6
439,C11,C7,C13,C56,C8
440,C67,C4,C12,C18,C5
441,C17,C9,C15,C16,C24
442,C10,C52,C58,C29,C20
443,C19,C25,C31,C23,C27
444,C22,C30,C33,C21,C35
445,C37,C38,C32,C44,C43
446,C36,C47,C28,C49,C45
447,C34,C48,C14,C52,C26
448,C42,C40,C51,C56,C55
449,C62,C60,C58,C63,C50
450,C41,C54,C66,C69,C53
451,C72,C39,C67,C70,C68
452,C64,C61,C59,C5,C71
453,C1,C8,C4,C73,C7
454,C15,C3,C9,C16,C46
455,C13,C6,C11,C18,C17
456,C14,C23,C26,C25,C24
457,C2,C22,C65,C31,C19
458,C20,C12,C32,C30,C34
459,C41,C57,C10,C38,C33
460,C43,C44,C28,C36,C40
461,C35,C51,C27,C49,C48
462,C53,C21,C45,C54,C50
463,C55,C47,C37,C59,C52
464,C39,C42,C29,C57,C66
465,C56,C64,C63,C58,C60
466,C70,C1,C68,C73,C46
467,C2,C71,C4,C61,C67
468,C3,C6,C8,C65,C12
469,C18,C17,C15,C14,C7
470,C19,C62,C22,C13,C16
471,C72,C9,C5,C28,C21
472,C32,C30,C69,C29,C25
473,C34,C26,C11,C31,C33
474,C41,C24,C20,C38,C43
475,C35,C45,C39,C36,C37
476,C51,C27,C49,C47,C46
477,C10,C44,C58,C56,C52
478,C59,C61,C62,C63,C53
479,C60,C42,C54,C65,C67
480,C73,C70,C55,C48,C23
481,C71,C4,C3,C40,C5
482,C57,C66,C50,C2,C8
483,C64,C9,C6,C7,C14
484,C18,C19,C10,C12,C16
485,C17,C25,C23,C22,C15
486,C68,C29,C11,C20,C1
487,C27,C26,C13,C24,C31
488,C39,C69,C33,C30,C34
489,C41,C36,C28,C42,C43
490,C50,C46,C47,C48,C49
491,C45,C32,C72,C40,C53
492,C52,C57,C58,C51,C38
493,C21,C37,C65,C62,C59
494,C44,C64,C70,C56,C63
495,C61,C68,C60,C73,C71
496,C7,C69,C66,C2,C54
497,C1,C5,C67,C8,C55
498,C12,C14,C72,C16,C10
499,C17,C6,C13,C11,C4
500,C3,C22,C24,C21,C18
501,C23,C20,C9,C32,C26
502,C31,C19,C28,C29,C34
503,C35,C38,C43,C37,C33
504,C44,C35,C30,C41,C25
505,C42,C39,C27,C46,C48
506,C40,C47,C53,C50,C36
507,C49,C57,C59,C55,C15
508,C61,C67,C63,C60,C51
509,C62,C58,C54,C64,C65
510,C73,C3,C56,C4,C2
511,C68,C6,C52,C66,C7
512,C70,C12,C1,C69,C5
513,C16,C10,C19,C72,C17
514,C20,C13,C24,C9,C14
515,C21,C71,C27,C22,C18
516,C29,C8,C33,C25,C31
517,C39,C23,C37,C28,C15
518,C30,C42,C38,C26,C41
519,C40,C35,C45,C47,C32
520,C49,C48,C45,C52,C34
521,C55,C50,C11,C46,C59
522,C63,C60,C61,C62,C43
523,C68,C66,C36,C58,C54
524,C1,C71,C73,C51,C65
525,C3,C6,C56,C44,C72
526,C53,C57,C9,C8,C10
527,C2,C11,C13,C16,C67
528,C19,C4,C17,C7,C5
529,C14,C26,C20,C22,C21
530,C23,C28,C18,C25,C69
531,C34,C70,C32,C36,C29
532,C39,C27,C31,C41,C40
533,C44,C33,C38,C46,C42
534,C43,C51,C64,C50,C12
535,C49,C48,C15,C24,C56
536,C55,C52,C58,C35,C60
537,C54,C62,C59,C57,C66
538,C30,C65,C68,C61,C70
539,C71,C45,C73,C72,C69
540,C63,C6,C3,C47,C2
541,C13,C12,C64,C37,C67
542,C17,C18,C14,C15,C9
543,C10,C1,C8,C20,C23
544,C25,C21,C19,C16,C4
545,C31,C24,C28,C11,C53
546,C26,C33,C22,C7,C30
547,C5,C38,C34,C42,C37
548,C35,C45,C46,C29,C43
549,C36,C32,C50,C41,C44
550,C48,C52,C49,C27,C39
551,C55,C53,C61,C63,C51
552,C62,C40,C60,C58,C67
553,C70,C66,C69,C73,C64
554,C72,C2,C57,C59,C5
555,C3,C54,C65,C4,C7
556,C71,C15,C47,C8,C10
557,C16,C18,C12,C6,C17
558,C9,C56,C22,C23,C1
559,C13,C68,C20,C14,C19
560,C27,C25,C26,C31,C30
561,C29,C11,C38,C32,C36
562,C39,C33,C42,C43,C40
563,C48,C50,C47,C35,C24
564,C37,C55,C53,C51,C44
565,C52,C21,C54,C34,C28
566,C61,C45,C57,C41,C59
567,C64,C63,C58,C66,C62
568,C56,C73,C1,C2,C60
569,C70,C7,C49,C69,C65
570,C5,C46,C71,C68,C10
571,C8,C17,C16,C72,C4
572,C6,C22,C67,C13,C9
573,C20,C19,C26,C27,C3
574,C24,C18,C11,C12,C32
575,C34,C36,C33,C23,C28
576,C21,C40,C39,C29,C37
577,C45,C35,C30,C42,C41
578,C15,C43,C52,C31,C14
579,C47,C50,C38,C46,C49
580,C25,C54,C61,C51,C53
581,C57,C62,C55,C64,C59
582,C44,C58,C66,C63,C67
583,C73,C1,C56,C71,C3
584,C5,C60,C48,C72,C4
585,C11,C70,C12,C65,C69
586,C13,C9,C68,C17,C15
587,C24,C14,C22,C7,C18
588,C16,C20,C8,C2,C28
589,C27,C32,C26,C31,C21
590,C38,C29,C35,C39,C30
591,C34,C43,C36,C25,C10
592,C23,C46,C48,C49,C45
593,C50,C42,C47,C6,C51
594,C55,C19,C56,C40,C53
595,C54,C37,C59,C58,C44
596,C41,C61,C60,C68,C67
597,C52,C66,C71,C33,C72
598,C57,C70,C2,C3,C6
599,C5,C64,C65,C73,C9
600,C10,C62,C11,C15,C4
601,C14,C13,C16,C21,C17
602,C24,C7,C8,C26,C20
603,C19,C27,C69,C25,C22
604,C1,C23,C30,C12,C29
605,C32,C18,C33,C41,C40
606,C44,C36,C43,C38,C37
607,C35,C46,C42,C63,C34
608,C51,C45,C47,C50,C56
609,C57,C58,C28,C53,C59
610,C60,C54,C39,C65,C61
611,C31,C48,C70,C66,C55
612,C64,C73,C68,C63,C3
613,C71,C52,C1,C67,C6
614,C10,C72,C5,C49,C8
615,C9,C18,C12,C62,C16
616,C4,C22,C21,C69,C14
617,C19,C2,C13,C23,C20
618,C33,C28,C17,C11,C31
619,C29,C25,C35,C36,C26
620,C7,C15,C43,C32,C41
621,C40,C45,C42,C46,C37
622,C24,C44,C48,C52,C38
623,C39,C30,C51,C27,C47
624,C61,C63,C54,C34,C55
625,C59,C64,C53,C60,C49
626,C66,C67,C65,C50,C68
627,C2,C56,C72,C69,C57
628,C70,C9,C6,C58,C62
629,C5,C14,C13,C15,C12
630,C1,C11,C8,C20,C16
631,C3,C25,C10,C23,C21
632,C71,C26,C27,C18,C19
633,C24,C22,C4,C73,C34
634,C40,C17,C36,C39,C31
635,C41,C29,C7,C42,C37
636,C47,C35,C28,C49,C38
637,C54,C43,C46,C51,C50
638,C53,C30,C45,C56,C59
639,C57,C58,C60,C52,C65
640,C44,C70,C61,C32,C64
641,C72,C33,C68,C63,C73
642,C66,C1,C71,C6,C5
643,C69,C62,C55,C67,C3
644,C2,C11,C12,C48,C16
645,C4,C15,C8,C7,C13
646,C27,C14,C17,C25,C19
647,C29,C30,C24,C18,C23
648,C34,C35,C20,C28,C9
649,C10,C42,C33,C26,C31
650,C45,C22,C40,C32,C39
651,C52,C47,C48,C51,C41
652,C54,C21,C36,C46,C56
653,C38,C58,C61,C37,C50
654,C63,C49,C65,C59,C53
655,C69,C68,C70,C43,C67
656,C57,C4,C1,C66,C60
657,C72,C55,C2,C71,C5
658,C6,C13,C44,C10,C12
659,C62,C18,C3,C9,C16
660,C20,C22,C24,C73,C64
661,C23,C19,C28,C29,C25
662,C26,C7,C33,C14,C27
663,C38,C31,C30,C8,C11
664,C32,C34,C40,C42,C35
665,C15,C41,C37,C17,C43
666,C50,C49,C21,C46,C39
667,C36,C44,C54,C58,C45
668,C62,C63,C55,C61,C51
669,C60,C69,C52,C67,C57
670,C47,C71,C59,C70,C66
671,C4,C56,C48,C6,C1
672,C68,C9,C73,C2,C72
673,C14,C11,C13,C16,C53
674,C3,C64,C19,C8,C65
675,C10,C26,C12,C20,C22
676,C7,C5,C17,C23,C24
677,C33,C27,C15,C18,C31
678,C40,C29,C32,C39,C21
679,C46,C35,C44,C28,C45
680,C41,C50,C37,C25,C43
681,C51,C36,C38,C54,C53
682,C55,C42,C57,C59,C34
683,C60,C58,C62,C52,C49
684,C71,C56,C47,C70,C63
685,C2,C73,C66,C30,C68
686,C5,C72,C64,C4,C61
687,C6,C48,C13,C7,C67
688,C17,C10,C3,C1,C8
689,C19,C15,C18,C9,C12
690,C14,C28,C25,C26,C65
691,C30,C33,C69,C20,C27
692,C22,C38,C11,C23,C37
693,C40,C16,C32,C21,C42
694,C48,C47,C45,C34,C24
695,C46,C51,C49,C39,C53
696,C50,C44,C58,C54,C43
697,C55,C57,C60,C63,C41
698,C35,C62,C68,C56,C64
699,C29,C36,C65,C59,C61
700,C67,C70,C71,C3,C52
701,C72,C7,C6,C9,C66
702,C8,C2,C15,C14,C5
703,C19,C69,C4,C1,C73
704,C31,C11,C18,C22,C13
705,C25,C10,C17,C16,C21
706,C30,C23,C29,C20,C33
707,C39,C26,C27,C37,C38
708,C45,C31,C34,C42,C43
709,C24,C40,C28,C47,C50
710,C54,C35,C52,C12,C55
711,C60,C48,C56,C32,C57
712,C36,C58,C63,C41,C65
713,C46,C64,C51,C53,C59
714,C68,C44,C72,C67,C69
715,C2,C70,C73,C4,C66
716,C61,C1,C5,C49,C9
717,C14,C10,C17,C7,C15
718,C11,C3,C13,C12,C19
719,C22,C20,C26,C24,C18
720,C32,C23,C21,C25,C71
721,C31,C37,C16,C8,C35
722,C29,C40,C30,C28,C6
723,C34,C27,C33,C41,C45
724,C52,C50,C42,C39,C38
725,C49,C54,C55,C43,C47
726,C53,C58,C44,C61,C36
727,C57,C59,C51,C62,C68
728,C66,C69,C62,C60,C70
729,C64,C56,C67,C48,C73
730,C4,C46,C65,C7,C9
731,C71,C2,C8,C10,C63
732,C15,C19,C5,C12,C3
733,C72,C21,C11,C20,C14
734,C24,C29,C13,C6,C23
735,C16,C26,C34,C28,C17
736,C18,C33,C22,C37,C32
737,C27,C42,C39,C31,C25
738,C48,C1,C47,C35,C36
739,C52,C50,C44,C51,C53
740,C59,C38,C45,C49,C41
741,C58,C55,C46,C57,C30
742,C60,C62,C64,C63,C69
743,C72,C40,C73,C43,C1
744,C6,C61,C2,C67,C54
745,C10,C4,C11,C66,C71
746,C70,C14,C3,C5,C8
747,C7,C20,C18,C13,C15
748,C26,C12,C65,C21,C25
749,C17,C9,C27,C22,C23
750,C32,C35,C33,C31,C29
751,C34,C39,C36,C19,C68
752,C24,C56,C43,C41,C42
753,C37,C16,C48,C46,C44
754,C53,C45,C38,C52,C51
755,C50,C47,C59,C40,C49
756,C58,C54,C57,C63,C66
757,C67,C60,C68,C64,C56
758,C73,C55,C65,C69,C72
759,C28,C4,C8,C71,C5
760,C11,C61,C3,C62,C1
761,C16,C70,C30,C13,C2
762,C22,C14,C6,C21,C20
763,C25,C9,C17,C15,C10
764,C26,C32,C27,C30,C12
765,C38,C36,C23,C37,C28
766,C42,C40,C29,C33,C7
767,C19,C44,C39,C45,C18
768,C53,C34,C31,C49,C51
769,C54,C48,C50,C57,C58
770,C35,C24,C63,C47,C56
771,C65,C55,C43,C67,C52
772,C60,C64,C46,C59,C61
773,C70,C41,C3,C62,C72
774,C1,C2,C69,C10,C6
775,C68,C12,C11,C13,C71
776,C9,C15,C20,C4,C5
777,C7,C73,C21,C22,C14
778,C28,C66,C29,C19,C24
779,C27,C32,C17,C16,C23
780,C26,C33,C30,C34,C25
781,C42,C37,C31,C35,C41
782,C36,C38,C8,C47,C48
783,C49,C18,C39,C43,C44
784,C56,C55,C50,C54,C60
785,C58,C53,C46,C61,C62
786,C69,C70,C52,C57,C40
787,C73,C45,C63,C51,C67
788,C71,C4,C1,C7,C65
789,C9,C66,C64,C8,C12
790,C14,C59,C16,C68,C3
791,C2,C13,C22,C5,C6
792,C21,C19,C25,C23,C27
793,C24,C17,C29,C30,C31
794,C37,C10,C33,C72,C34
795,C26,C18,C35,C40,C32
796,C43,C45,C36,C39,C20
797,C11,C28,C41,C50,C15
798,C42,C48,C56,C55,C53
799,C58,C60,C52,C38,C49
800,C62,C54,C67,C64,C66
801,C69,C47,C70,C63,C68
802,C72,C4,C2,C3,C51
803,C7,C6,C9,C57,C8
804,C73,C65,C12,C1,C14
805,C18,C19,C5,C11,C71
806,C22,C13,C23,C10,C21
807,C17,C59,C44,C16,C24
808,C30,C34,C20,C25,C31
809,C37,C26,C35,C61,C33
810,C44,C39,C38,C46,C27
811,C47,C49,C29,C42,C40
812,C36,C15,C46,C54,C48
813,C41,C50,C32,C56,C59
814,C43,C53,C61,C62,C45
815,C51,C69,C66,C63,C67
816,C70,C72,C28,C57,C71
817,C55,C3,C73,C58,C65
818,C52,C60,C68,C7,C9
819,C5,C4,C1,C64,C6
820,C12,C19,C10,C15,C14
